date;year;agency;type;country;cityPais;city;event_title;title;speakers;language;URL_document;Observations
3-5november 2025;2025;FIG;Conference;Brazil ;BrazilC;Florianópolis;FIG Joint Land Administration Conference;Claves del éxito del catastro español y sus retos para el Furturo con relación con el FELA;1;Español;;
17 july 2025;2025;Un-GGIM (EG-LAM);Webinar;Online;Online;Online;Unlocking FELA a global dialogue on land administration ;FELA implementation experiences: Key achievement of FELA Principles in Sierra Leone;36;Inglés;;
17 july 2025;2025;Un-GGIM (EG-LAM);Webinar;Online;Online;Online;Unlocking FELA a global dialogue on land administration ;FELA implementation experiences: El estado de la administracion de tierras en Mexico, una perspectiva registral y catastral desde el FELA ;57;Español;;Analisis basado en los resultados del Censo Nacional de Gobiernos Estatales 2025
17 july 2025;2025;Un-GGIM (EG-LAM);Webinar;Online;Online;Online;Unlocking FELA a global dialogue on land administration ;FELA implementation experiences: Towards Effective Land Administration: Lessons For and From Nigeria;6;Inglés;;FELA progress across States in Nigeria
17 july 2025;2025;Un-GGIM (EG-LAM);Webinar;Online;Online;Online;Unlocking FELA a global dialogue on land administration ;FELA implementation experiences: de SIT a SAT Orientaciones para integrar FELa en la provincia de Córdoba, Argentina ;2;Español;;Modernizar el SIT y mejorar la administracion territorial provincial, integrando municipios y comunas 
17 july 2025;2025;Un-GGIM (EG-LAM);Webinar;Online;Online;Online;Unlocking FELA a global dialogue on land administration ;Tools for land administration: FELA implementation: French urban planning geoportal;69;Inglés;;
17 july 2025;2025;Un-GGIM (EG-LAM);Webinar;Online;Online;Online;Unlocking FELA a global dialogue on land administration ;Tools for land administration: UN tools to implement FELA;68;Español;;Herramientas de las UN que pueden ser usadas para la implementacion de FELA (GLTN)
17 july 2025;2025;Un-GGIM (EG-LAM);Webinar;Online;Online;Online;Unlocking FELA a global dialogue on land administration ;FELA and effective land Administration ;10,55;Inglés;;
16-17 June 2025;2025;EuroSDR,IGN France, UN-GGIM Europe, EuroGeographics;Workshop;France;Paris;Paris;International Workshop on challenges in relation to the UN Framework for Effective Land Administration (FELA);UN-GGIM Expert Group on Land administration and Management;19;Inglés;https://www.eurosdr.net/sites/default/files/images/inline/eurosdr_fela_paris_keynote-presentation.pdf;
16-17 June 2025;2025;EuroSDR,IGN France, UN-GGIM Europe, EuroGeographics;Workshop;France;Paris;Paris;International Workshop on challenges in relation to the UN Framework for Effective Land Administration (FELA);Introduction to UN-GGIM Framework for Effective Land Administration (FELA);10;Inglés;https://www.eurosdr.net/sites/default/files/images/inline/eurosdr_fela_paris_intro-to-the_fela.pdf;
16-17 June 2025;2025;EuroSDR,IGN France, UN-GGIM Europe, EuroGeographics;Workshop;France;Paris;Paris;International Workshop on challenges in relation to the UN Framework for Effective Land Administration (FELA);Results of FELA surveys;66,67;Inglés;https://www.eurosdr.net/sites/default/files/images/inline/eurosdr_fela_paris_survey-results.pdf;
16-17 June 2025;2025;EuroSDR,IGN France, UN-GGIM Europe, EuroGeographics;Workshop;France;Paris;Paris;International Workshop on challenges in relation to the UN Framework for Effective Land Administration (FELA);Effective land administration in the Netherlands;33;Inglés;;
16-17 June 2025;2025;EuroSDR,IGN France, UN-GGIM Europe, EuroGeographics;Workshop;France;Paris;Paris;International Workshop on challenges in relation to the UN Framework for Effective Land Administration (FELA);FELA implementation: French urban planning geoportal;69;Inglés;https://www.eurosdr.net/sites/default/files/images/inline/eurosdr_fela_french_urban_planning_geoportal.pdf;
16-17 June 2025;2025;EuroSDR,IGN France, UN-GGIM Europe, EuroGeographics;Workshop;France;Paris;Paris;International Workshop on challenges in relation to the UN Framework for Effective Land Administration (FELA);FELA implementation: feedback from Latvia;70;Inglés;https://www.eurosdr.net/sites/default/files/images/inline/eurosdr_fela_implementation_feedbacks-from-latvia.pdf;
16-17 June 2025;2025;EuroSDR,IGN France, UN-GGIM Europe, EuroGeographics;Workshop;France;Paris;Paris;International Workshop on challenges in relation to the UN Framework for Effective Land Administration (FELA);Making land information systems the cornerstone of FELA implementation in Africa;71,26;Inglés;https://www.eurosdr.net/sites/default/files/images/inline/eurosdr_fela_lis-in-africa_feedbacks-from-ignfi.pdf;
16-17 June 2025;2025;EuroSDR,IGN France, UN-GGIM Europe, EuroGeographics;Workshop;France;Paris;Paris;International Workshop on challenges in relation to the UN Framework for Effective Land Administration (FELA);Improving the usage of land administration data for education and capacity building;73,74;Inglés;https://www.eurosdr.net/sites/default/files/images/inline/eurosdr_fela_education-capacity-building.pdf;
16-17 June 2025;2025;EuroSDR,IGN France, UN-GGIM Europe, EuroGeographics;Workshop;France;Paris;Paris;International Workshop on challenges in relation to the UN Framework for Effective Land Administration (FELA);The use of GIS in FELA implementations;29,75;Inglés;https://www.eurosdr.net/sites/default/files/images/inline/eurosdr_fela_use-of-gis_esri.pdf;
30 April 2025, 20 May 2025;2025;Arab Academic Network for Land Governance (ARA-LG), Arab Land Initiative;Lectures;Online;Online;Online;Strengthening Academic Foundations in Land Governance: Online Lectures Hosted in Collaboration with Al-Quds and Duhok Universities;international frameworks and models;72;Inglés;https://arablandinitiative.gltn.net/media/news/strengthening-academic-foundations-in-land-governance-online-lectures-hosted-in-collaboration-with;
